text_sha256,vad_model,vad_model_revision,expressed_valence,expressed_arousal,expressed_dominance
65676c008230fe3a49188c0481aea180301d4063c92dc2efd14921aa0240d400,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.6648638248443604,3.1681020259857178,3.2415599822998047
9a65b0a4abc4262f03fb59b02bab24637524b74ae3ed29ddea614344f68ec3e6,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.782499313354492,3.185117483139038,3.4202349185943604
de8598809838dbefc730fa8b5d4d284e19eda2927a91d1dc6e9beb86d7a60dd3,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.619300127029419,3.0683395862579346,3.1867213249206543
9ecefcfbd987788171273b7a95e09c76de8c188a52cf15f43e96be1c22da7bc1,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.8559491634368896,3.1595020294189453,3.242565870285034
74b21dad371c824d103cb26faecef48a9fa5ec9a90781847676b5ffa79f9c192,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.5805609226226807,3.032087802886963,3.022085905075073
6b76f5d0031abcc8e7a538faaea64379a5d27742f262cb6efefaa8938c86cd44,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.4680659770965576,3.182995080947876,3.147937059402466
e6a7676d5685595c94909d341f4d8cd535984ce4163f3f3ae9a46e46591f3f78,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.677385807037353,3.1691317558288574,3.2033073902130127
a7e41b17c6f3c4889b5afe96e10c254420f190f7894bc20c336055d4088f8976,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.67034125328064,3.1220974922180176,3.2174670696258545
5870cb876d19c5418387e065792d74de4f3ca0b04fbf9517e861bd4c321115a4,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.8249123096466064,3.0591275691986084,3.2950994968414307
83ef7f1c2b6e53590b1060a364f95a43427bda125b3f91e55ce058272151c854,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.580800294876098,3.1694836616516118,3.083319902420044
62c3e360acf6a36f94029ccf137604e2fe951a3a48388ad64ef4b9d05c78a4d2,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.8479082584381104,3.122260332107544,3.2382891178131104
795fffa28a35ef91030eacda65b9c8ddff81aecb4e9114c781890d3061554a1e,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.749962568283081,3.107232093811035,3.2393484115600586
69772233c015df5c17c143b786b1636a926985d85e46b145aedede29ff319c99,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.6852011680603027,3.2176363468170166,3.2595763206481934
85336f3620ba3aafcbe518918cbaca8a307c342c2c15ab19026c451779017f30,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.3917078971862797,3.226262092590332,3.1077327728271484
e250ddc484b83e11c9ab873d316aede2bdf810537be5737f17de56d83f99f3bc,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.8225138187408447,3.0538504123687744,3.15614914894104
2dab001c79c9148f2dacf7195d7720159899e77e84608ef3bf482eb251e0c256,RobroKools/vad-bert,c4c659fd17dd5807572b3f0f577de8c408401ca7,2.99822998046875,3.182457685470581,3.3949692249298096
